Name,Address,Cuisine
Four Sisters Restaurant,"6769 Wilson Blvd, Falls Church, VA ",Vietnamese
Galileo,"1110 21st St., NW, Washington, DC",Italian
Gerard's Place,"915 15th St., NW, Washington, DC",French
Good Fortune,"2646 University Blvd W, Silver Spring, MD",Chinese
Grapeseed,"4865 Cordell Ave, Bethesda, MD ",Modern American
The Grill From Ipanema,"1858 Columbia Rd., NW, Washington, DC",Brazilian
Haandi,"1222 W. Broad St., Falls Church, VA",Indian
Haandi-2,"4904 Fairmont Ave., Bethesda, MD",Indian
Hee Been,"6231 Little River Turnpike, Alexandria, VA",Japanese-Korean
Heritage India,"2400 Wisconsin Ave NW, Washington, DC",Indian
Il Pizzico,"15209 N Frederick Rd, Rockville, MD",Italian
The Inn at Little Washington,"309 Middle St, Washington, VA ",Modern American
i Ricchi,"1220 19th St., NW, Washington, DC",Italian
Jaleo,"480 Seventh St., NW, Washington, DC",Spanish
JEAN-MICHEL,"10241 Old Georgetown Rd, Bethesda, MD",French
Johnny's Half Shell,"2002 P St., NW, Washington, DC",Seafood
Kaz Sushi Bistro,"1915 I St., NW, Washington, DC",Japanese
Kinkead's,"2000 Pennsylvania Ave., NW, Washington, DC",Seafood
Krupin's,"4620 Wisconsin Ave., NW, Washington, DC",Deli
La Bergerie,"218 N. Lee St., Alexandria, VA",French
La Chaumière,"2813 M St., NW, Washington, DC",French
La Colline,"400 North Capitol St NW, Washington, DC",French
La Côte D'Or Café,"6876 Lee Hwy., Arlington, VA",French
La Ferme,"7101 Brookville Rd, Chevy Chase, MD ",French
La Miche,"7905 Norfolk Ave., Bethesda, MD",French
L'Auberge Chez François,"332 Springvale Rd, Great Falls, VA",French
Lebanese Taverna,"2641 Connecticut Ave., NW, Washington, DC",Lebanese
Le Gaulois,"1106 King St., Alexandria, VA",French
Le Mannequin Pis,"18064 Georgia Ave, Olney, MD",Belgian
Les Halles,"1201 Pennsylvania Ave., NW, Washington, DC",French
Le Vieux Logis,"7925 Old Georgetown Rd, Bethesda, MD",French
Lightfoot,"11 N King St, Leesburg, VA",Modern American
Luigino,"1100 New York Ave., NW, Washington, DC",Italian
Malaysia Kopitiam,"1827 M St., NW, Washington, DC",Malaysian
Marcel's,"2401 Pennsylvania Ave., NW, Washington, DC",French-Belgian
Matuba,"2915 Columbia Pike, Arlington, VA",Japanese
Matuba-Bethesda,"4918 Cordell Ave., Bethesda, MD",Japanese
Mezza 9,"1325 Wilson Blvd., Arlington, VA",mediterranean
Michel Richard Citronelle,"3000 M St., NW, Washington, DC",French
Morton's of Chicago,"3251 Prospect St., NW, Washington, DC",American
Morton's of Chicago-3,"1050 Connecticut Ave., NW, Washington, DC",American
Morton's of Chicago-2,"8075 Leesburg Pike, Vienna, VA",American
NAM-VIET PHO 79,"3419 Connecticut Ave., NW, Washington, DC",Vietnamese
Neisha Thai,"6037 Leesburg Pike, Bailey's Crossroads, VA ",Thai
Nizam's,"523 Maple Ave W, Vienna, VA",Turkish
Obelisk,"2029 P St., NW, Washington, DC",Italian
Old Angler's Inn,"10801 MacArthur Blvd, Potomac, MD",Modern American
Old Europe,"2434 Wisconsin Ave NW, Washington, DC",German
Oodles Noodles-3,"1120 19th St., NW, Washington, DC",Asian
Oodles Noodles-2,"4907 Cordell Ave., Bethesda, MD",Asian
Osteria Goldoni,"1120 20th St., NW, Washington, DC",Italian
The Palm,"1225 19th St., NW, Washington, DC",American
Persimmon,"7003 Wisconsin Ave., Bethesda, DC",Modern American
Petits Plats,"2653 Connecticut Ave., NW, Washington, DC",French
Pizzeria Paradiso,"2029 P St., NW, Washington, DC",Pizza
The Prime Rib,"2020 K St., NW, Washington, DC",American
Red Tomato,"2030 M St., NW, Washington, DC",Italian
Rio Grande Café,"4919 Fairmont Ave, Bethesda, MD",Tex-Mex
Rio Grande Café-4,"231 Rio Blvd, Gaithersburg, MD",Tex-Mex
Rio Grande Café-2,"4301 Fairfax Dr, Arlington, VA ",Tex-Mex
Rio Grande Café-3,"1827 Library St, Reston, VA",Tex-Mex
RT's Restaurant,"3804 Mt Vernon Ave, Alexandria, VA",American
Sam Woo,"1054 Rockville Pike, Rockville, MD",Korean
Seven Seas,"1776 E. Jefferson St., Rockville, MD",Chinese
1789 Restaurant,"1226 36th St., NW, Washington, DC",Modern American
Star of Siam,"1136 19th St., NW, Washington, DC",Thai
Star of Siam-2,"2446 18th St., NW, Washington, DC",Thai
Stone Manor,"5820 Carroll Boyer Rd, Middletown, MD",Modern American
Sushi-Ko,"2309 Wisconsin Ave., NW, Washington, DC",Japanese
Taberna del Alabardero,"1776 I St., NW, Washington, DC",Spanish
Tachibana,"6715 Lowell Ave, McLean, VA",Japanese
Tako Grill,"7756 Wisconsin Ave., Bethesda, MD",Japanese
Tara Thai,"226 Maple Ave W, Vienna, VA",Thai
Taste of Saigon,"410 Hungerford Dr, Rockville, MD",Vietnamese
Taste of Saigon-2,"8201 Greensboro Dr, McLean, VA",Vietnamese
Tavira,"8401 Connecticut Ave, Washington, MD",Portuguese
Teatro Goldoni,"1909 K St., NW, Washington, DC",Italian
Tony Cheng's Seafood Restaurant,"621 H St NW, Washington, DC",Chinese
Vidalia,"1990 M St., NW, Washington, DC",Modern American
The Vigorelli,"3421 Connecticut Ave., NW, Washington, DC",Italian
Woo Lae Oak,"1500 S. Joyce St., Arlington, VA",Korean
Würzburg Haus,"7236 Muncaster Mill Rd, Rockville, MD ",German
