Restaurants,Address,Cuisine
Minh’s,"2500 Wilson Blvd., Arlington, Washington DC",Vietnamese
Minibar,"405 Eighth St., NW, Washington DC",Modern American
Montmartre,"327 Seventh St., SE, Washington DC",French
Mourayo,"1732 Connecticut Ave., NW, Washington DC",Greek
Nava Thai Noodle and Grill,"11301 Fern St., Silver Spring, MD",Thai
Obelisk,"2029 P St., NW, Washington DC",Italian
Oval Room,"800 Connecticut Ave., NW, Washington DC",Modern American
Palena and Palena Café,"3529 Connecticut Ave., NW, Washington DC",Modern American
Passage to India,"4931 Cordell Ave., Bethesda, MD",Indian
PassionFish,"11960 Democracy Dr, Reston, VA",Modern American/seafood
Patowmack Farm,"42461 Lovettsville Rd., Lovettsville, Va.",Modern American
Pete’s New Haven Style Apizza,"1400 Irving St., NW, Washington DC",Italian/pizza
Poste,"555 Eighth St., NW, Washington DC",Modern American
Potenza,"1430 H St., NW, Washington DC",Italian
Present,"6678 Arlington Blvd., Falls Church, VA",Vietnamese
The Prime Rib,"2020 K St., NW, Washington DC",American/steak
Proof,"775 G St., NW, Washington DC",Modern American/wine bar
PS 7’s,"777 I St., NW, Washington DC",Modern American
Rasika,"633 D St., NW, Washington DC",Indian
Ray’s the Classics,"8606 Colesville Rd., Silver Spring, MD",American
Ray’s the Steaks,"2300 Wilson Blvd., Arlington, VA",Steakhouse
Restaurant Eve,"110 S Pitt St, Alexandria, VA",Modern American
Sei,"444 Seventh St., NW, Washington DC",Japanese/sushi
701,"701 Pennsylvania Ave., NW, Washington DC",Modern American
1789,"1226 36th St., NW, Washington DC",Modern American
Siroc,"915 15th St., NW, Washington DC",Italian
The Source,"575 Pennsylvania Ave., NW, Washington DC",Modern American/Asian
Sou’Wester,"1330 Maryland Ave., SW, Washington DC",Southern
Spice Xing,"100-B Gibbs St., Rockville, MD",Indian
Sushi-Ko,"2309 Wisconsin Ave., NW, Washington DC",Sushi
Sushi Sono,"10215 Wincopin Cir, Columbia, MD",Sushi
Sushi Taro,"1503 17th St., NW, Washington DC",Japanese/sushi
Tallula,"2761 Wilson Blvd., Arlington, VA",Modern American
Teatro Goldoni,"1909 K St., NW, Washington DC",Italian
3 Bar & Grill,"2950 Clarendon Blvd., Arlington, VA",Modern American
Tosca,"1112 F St., NW, Washington DC",Italian
Trummer’s on Main,"7134 Main St, Clifton, VA",Modern American
2941,"2941 Fairview Park Dr., Falls Church, VA",Modern American/French
2 Amys,"3715 Macomb St., NW, Washington DC",Italian/pizza
Vermilion,"1120 King St., Alexandria, VA",Modern American
Vidalia,"1990 M St., NW, Washington DC",Modern American/Southern
Villa Mozart,"4009 Chain Bridge Rd., Fairfax, VA",Italian
Volt,"228 N Market St, Frederick, MD",Modern American
Westend Bistro by Eric Ripert,"1190 22nd St., NW, Washington DC",American/French
Willow,"4301 N. Fairfax Dr., Arlington, VA",Modern American
Zaytinya,"701 Ninth St., NW, Washington DC",Greek/Lebanese/Turkish
Zentan,"1155 14th St., NW, Washington DC",Pan-Asian/sushi
