Name,Address,Cusine
Tavira,"8401 Connecticut Ave, Washington, MD",Portuguese
Teatro Goldoni,"1909 K St., NW, Washington, DC",Italian
TenPenh,"1001 Pennsylvania Ave NW, Washington, DC",Asian
Tuscarora Mill,"203 Harrison St SE, Leesburg, VA ",Modern American
2941,"2941 Fairview Park Dr, Falls Church, VA",French-American
Vidalia,"1990 M St., NW, Washington, DC",Modern American
Woo Lae Oak,"1500 S. Joyce St., Arlington, VA",Korean
Wurzburg Haus,"7236 Muncaster Mill Rd., Rockville, MD",German
Yanyu,"3435 Connecticut Ave., NW, Washington, DC",Asian
Yin Yankee Cafe,"105 Main St., Annapolis, MD",Asian
Zaytinya,"701 Ninth St., NW, Washington, DC",Mediterranean
